command,W,X,Y,Z,count,min,max,cmd,rep,inc,inr,evt,ine,outer,inner,ndata
="0001",="0",="0",="0",="1",1,8,8,1,0,0,0,0,0,1,0,0
="4001",="4",="0",="0",="1",1,8,8,1,0,0,0,0,0,1,0,0
="8001",="8",="0",="0",="1",1,8,8,1,0,0,0,0,0,1,0,0
="0301",="0",="3",="0",="1",5,16,16,1,0,0,0,0,0,1,0,5
="8301",="8",="3",="0",="1",1,16,16,1,0,0,0,0,0,1,0,1
="0000",="0",="0",="0",="0",1,12,12,0,1,0,0,0,0,1,0,1
="4000",="4",="0",="0",="0",1,12,12,0,1,0,0,0,0,1,0,1
="8000",="8",="0",="0",="0",1,12,12,0,1,0,0,0,0,1,0,1
="0600",="0",="6",="0",="0",5,12,12,0,1,0,0,0,0,1,0,1
="8600",="8",="6",="0",="0",1,12,12,0,1,0,0,0,0,1,0,1
="0002",="0",="0",="0",="2",12,20,20,0,0,1,1,0,0,0,1,8
="0102",="0",="1",="0",="2",12,16,73,0,0,1,1,0,0,0,1,10
="0202",="0",="2",="0",="2",12,16,16,0,0,1,1,0,0,0,1,7
